Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /health,1809,0,6,7.339386180417242,2.0115999941481277,284.9665000103414,15.0,15.474475146005396,0.0,6,7,7,8,9,11,19,30,260,280,280
POST,POST /api/ai/generate,955,0,6,140.20878219905708,2.722600009292364,12502.11460000719,174.87434554973822,8.169222644795552,0.0,6,7,8,8,11,850,1500,4200,13000,13000,13000
,Aggregated,2764,0,6,53.24758921869548,2.0115999941481277,12502.11460000719,70.23878437047757,23.64369779080095,0.0,6,7,7,8,9,13,770,1300,5900,13000,13000
